From Node ID,To Node ID,Weight
0,18660,1
0,16248,1
0,15576,1
0,16210,0
0,16704,1
1,17962,1
1,16967,0
1,17296,-1
1,18043,1
1,17923,1
1,17873,1
1,17667,1
2,17317,1
2,17590,1
2,17024,1
2,15648,0
2,15799,1
2,17212,1
3,15943,1
3,16510,1
3,16503,1
3,16504,1
3,16564,1
3,16562,1
3,16567,1
3,15944,1
3,16273,1
3,16188,1
3,15994,1
3,16561,1
3,15784,1
3,16560,1
3,16563,1
3,15786,1
3,16506,1
3,15788,1
3,17142,1
3,16257,1
3,15970,1
3,16575,1
3,15613,1
3,16592,1
3,16569,1
3,16256,1
3,15787,1
3,15937,1
3,16576,1
3,15789,1
4,17755,1
4,15819,1
4,16356,1
4,16005,1
4,15717,1
4,15820,1
4,16887,1
4,16336,1
4,15776,1
4,16014,1
4,16468,1
4,16537,1
4,15954,1
4,15608,1
4,15810,1
4,15947,1
4,16554,1
4,15719,1
4,16813,1
4,17085,1
4,17171,1
4,16307,1
4,15999,1
4,15716,1
4,17021,1
4,15826,1
4,15870,1
4,16267,1
4,15827,1
4,17286,1
4,16157,1
4,15907,1
4,16625,1
4,15976,1
4,16526,1
4,17492,1
4,16721,1
4,16624,1
4,16731,1
4,18197,1
4,15840,1
4,15859,1
4,15796,1
4,16237,0
4,16527,1
5,18650,1
5,18402,1
5,18649,1
5,18939,1
5,18881,1
5,18652,1
5,18496,1
5,18902,1
5,18909,1
5,18743,1
6,17175,1
6,17323,1
6,17189,1
6,17317,0
6,16420,1
6,17152,-1
6,17435,0
6,16762,1
6,17471,1
6,17200,1
6,17247,0
6,17400,1
6,17274,1
6,15585,1
6,16887,1
6,15906,1
6,17243,1
6,17290,0
6,17296,1
6,17245,-1
6,17213,1
6,15572,1
6,16689,1
6,17403,0
6,16761,1
6,15708,1
7,17953,0
7,17702,-1
7,17871,1
7,17910,1
7,17972,1
8,18009,0
8,18016,-1
8,17951,0
8,17729,-1
8,18079,0
8,18023,0
8,18027,0
8,17785,-1
8,18100,-1
8,17976,1
8,18059,0
8,18043,0
8,18115,-1
8,18126,0
8,18073,-1
8,17945,1
9,17805,0
9,18004,1
9,18613,1
9,18048,1
9,17824,1
10,17995,1
10,17289,1
10,16504,0
10,17651,1
10,17773,1
10,17782,-1
11,18434,1
11,17407,1
11,18521,-1
11,17706,1
11,15956,1
12,18284,0
12,18318,0
12,18395,1
12,18403,1
12,17130,1
12,18394,1
13,17926,1
13,17264,1
13,17752,1
13,17657,1
13,17820,1
14,18539,1
14,17201,1
14,15937,1
14,17233,1
14,17590,1
14,18324,1
15,16272,1
15,16279,1
15,16283,1
15,17067,1
15,16297,0
16,16025,1
16,17826,1
16,18004,1
16,17823,1
16,17820,1
17,16824,1
17,17590,1
17,16880,1
17,17105,1
17,17175,0
17,17317,-1
18,18578,1
18,18611,1
18,18575,1
18,18555,1
18,18797,1
18,18567,1
18,19070,1
19,18495,1
19,18432,1
19,17809,1
19,16410,1
19,16469,1
19,18457,0
19,18967,1
20,17825,-1
20,17764,1
20,16065,1
20,17331,1
20,16435,1
20,17619,1
21,17028,1
21,16733,1
21,15709,1
21,16897,0
21,16732,1
21,16762,1
21,15877,1
21,17008,0
22,16510,0
22,15787,-1
22,16961,0
22,16338,1
22,16018,1
22,15542,-1
23,15669,-1
23,17275,-1
23,16289,-1
23,15645,-1
23,17913,-1
24,15709,1
24,18054,-1
24,17212,1
24,16183,1
24,18080,0
24,17910,1
24,17359,-1
24,16080,1
24,17464,-1
24,17684,-1
24,15877,1
24,17811,-1
24,17701,-1
24,18009,-1
24,17953,-1
24,16062,1
24,17972,-1
25,19019,1
25,19061,1
25,19047,1
